opname,returntype,argc,arg0,arg1,arg2
PAR,?,1,?,,
PRE,?,1,?,,
NOT,BOOLEAN,1,BOOLEAN,,
CARD,INTEGER,1,CLOCK,,
LOG10,REAL,1,INTEGER;REAL,,
COS,REAL,1,INTEGER;REAL,,
ACOS,REAL,1,INTEGER;REAL,,
SIN,REAL,1,INTEGER;REAL,,
ASIN,REAL,1,INTEGER;REAL,,
START,EVENT,1,PERIOD,,
END,EVENT,1,PERIOD,,
SUBEXPRESSION,1,1,*,,
EXP_OP,REAL,1,INTEGER;REAL,,
SUB,1,1,INTEGER;REAL,,
ADD,1,1,INTEGER;REAL,,
LOG,REAL,1,INTEGER;REAL,,
TICK,EVENT,1,CLOCK,,
AND,BOOLEAN,2,BOOLEAN,BOOLEAN,
MUL,INTEGER,2,INTEGER,INTEGER,
MUL,REAL,2,REAL,INTEGER;REAL,
MUL,REAL,2,INTEGER;REAL,REAL,
MUL,BOOLEAN,2,BOOLEAN,BOOLEAN,
ADD,INTEGER,2,INTEGER,INTEGER,
ADD,REAL,2,REAL,INTEGER;REAL,
ADD,REAL,2,INTEGER;REAL,REAL,
ADD,STRING,2,STRING,INTEGER;REAL;STRING,
ADD,STRING,2,INTEGER;REAL;STRING,STRING,
ADD,CLOCK,2,PERIOD;CLOCK,REAL,
ADD,CLOCK,2,CLOCK,INTEGER,
ADD,BOOLEAN,2,BOOLEAN,BOOLEAN,
SUB,INTEGER,2,INTEGER,INTEGER,
SUB,REAL,2,REAL,INTEGER;REAL,
SUB,REAL,2,INTEGER;REAL,REAL,
SUB,BOOLEAN,2,BOOLEAN,BOOLEAN,
DIV,INTEGER,2,INTEGER,INTEGER,
DIV,REAL,2,REAL,INTEGER;REAL,
DIV,REAL,2,INTEGER;REAL,REAL,
WITH,?,2,?,?,
MASTER,?,2,?,?,
ON,?,2,?,?,
FILTER,CLOCK,2,CLOCK,BOOLEAN,
LE,BOOLEAN,2,INTEGER;REAL,INTEGER;REAL,
LE,BOOLEAN,2,REAL,PERIOD,
LE,BOOLEAN,2,BOOLEAN,BOOLEAN,
LE,BOOLEAN,2,EVENT,EVENT,
LT,BOOLEAN,2,INTEGER;REAL,INTEGER;REAL,
LT,BOOLEAN,2,REAL,PERIOD,
LT,BOOLEAN,2,BOOLEAN,BOOLEAN,
LT,BOOLEAN,2,EVENT,EVENT,
GE,BOOLEAN,2,INTEGER;REAL,INTEGER;REAL,
GE,BOOLEAN,2,BOOLEAN,BOOLEAN,
GE,BOOLEAN,2,EVENT,EVENT,
GT,BOOLEAN,2,INTEGER;REAL,INTEGER;REAL,
GT,BOOLEAN,2,BOOLEAN,BOOLEAN,
GT,BOOLEAN,2,EVENT,EVENT,
NEQ,BOOLEAN,2,INTEGER;REAL,INTEGER;REAL,
NEQ,BOOLEAN,2,REAL,PERIOD,
NEQ,BOOLEAN,2,BOOLEAN,BOOLEAN,
PAR,?,2,,?,
EQ,BOOLEAN,2,INTEGER;REAL,INTEGER;REAL,
EQ,BOOLEAN,2,REAL,PERIOD,
EQ,BOOLEAN,2,BOOLEAN,BOOLEAN,
OR,BOOLEAN,2,BOOLEAN,BOOLEAN,
POW,INTEGER,2,INTEGER,INTEGER,
POW,REAL,2,INTEGER;REAL,REAL,
POW,REAL,2,REAL,INTEGER;REAL,
MOD,INTEGER,2,INTEGER,INTEGER,
MOD,REAL,2,REAL,INTEGER;REAL,
MOD,REAL,2,INTEGER;REAL,REAL,
LOG,?,2,?,?,
AT,*,2,*,EVENT,
